0,1,2,3,4,5,6
番号,基準点コード,局名称,県名,施設名,受信機名,アンテナ名
20897,EL06140524301,小泊,青森県,中泊町立小泊中学校,TRIMBLE NETR9,TRM59800.80 GSI
20898,EL06140007001,深浦,青森県,深浦町立風合瀬小学校跡,TOPCON NETG5,TRM59800.80 GSI
20899,EL06041609803,十和田湖１,青森県,上川目浄水場,TOPCON NETG5,TRM59800.80 GSI
20900,EL06040629302,西目屋,青森県,西目屋村立西目屋中学校,5700,TRM29659.00
20901,EL06041621602,五戸,青森県,ひばり野スポーツ交流センター,TOPCON NETG5,TRM59800.80 GSI
20902,EL06040573502,十和田湖２,青森県,十和田湖自然の家跡地,TRIMBLE ALLOY,TRM59800.80 GSI
20903,EL06041332802,軽米,岩手県,妻渡ふれあい広場,TOPCON NETG5,TRM59800.80 GSI
20904,EL06041102301,安代,岩手県,八幡平市立安代中学校,TOPCON NETG5,TRM59800.80 GSI
20905,EL05941756201,岩泉３,岩手県,岩泉町立大平小中学校跡地,TOPCON NETG5,TRM59800.80 GSI
20906,EL05941478702,田老,岩手県,宮古市立田老第一中学校,5700,TRM29659.00
20907,EL05941336402,川井２,岩手県,宮古市立門馬小中学校,TOPCON NETG5,TRM59800.80 GSI
20908,EL05940266603,沢内,岩手県,西和賀町防雪管理センター,TOPCON NETG5,TRM59800.80 GSI
20909,EL05941125302,大迫,岩手県,花巻市水道事業所,TOPCON NETG5,TRM59800.80 GSI
20910,EL05841628402,江刺,岩手県,奥州市立人首小学校,TOPCON NETG5,TRM59800.80 GSI
20911,EL05841431202,岩手大東,岩手県,株式会社　八木澤商店　大原工場,TOPCON NETG5,TRM59800.80 GSI
20912,EL05841319101,平泉,岩手県,平泉町立長島小学校,TOPCON NETG5,TRM59800.80 GSI
20913,EL05840362602,栗駒２,宮城県,栗駒高原創造センター（山脈ハウス）,TOPCON NETG5,TRM59800.80 GSI
20914,EL05841029501,宮城東和,宮城県,東和総合支所,TOPCON NETG5,TRM59800.80 GSI
20915,EL05841002001,高清水,宮城県,高清水勤労者体育センター,TOPCON NETG5,TRM59800.80 GSI
20916,EL05741719201,南方,宮城県,登米市立南方中学校,TOPCON NETG5,TRM59800.80 GSI
20917,EL05740658802,小野田,宮城県,小野田町総合交流ターミナル施設「ぶな林」,TOPCON NETG5,TRM59800.80 GSI
20918,EL05741621401,河北,宮城県,石巻市立河北中学校,TOPCON NETG5,TRM59800.80 GSI
20919,EL05740271503,名取,宮城県,名取市立閖上中学校,5700,TRM29659.00 GSI
20920,EL05640558802,丸森,宮城県,町有地,TOPCON NETG5,TRM59800.80 GSI
